ref_id,text,language,english,has_english_translation,new_gold_keywords,new_gold_fields,new_gold_index,new_keyword_suggestions
Mishnah Bava batra 8:1,"יש נוחלין ומנחילין, ויש נוחלין ולא מנחילין, מנחילין ולא נוחלין, לא נוחלין ולא מנחילין. ואלו נוחלין ומנחילין, האב את הבנים והבנים את האב והאחין מן האב, נוחלין ומנחילין. האיש את אמו והאיש את אשתו, ובני אחיות, נוחלין ולא מנחילין. האשה את בניה והאשה את בעלה ואחי האם, מנחילין ולא נוחלין. והאחים מן האם, לא נוחלין ולא מנחילין:",Hebrew,"There are those who receive inheritance and transmit inheritance;
and there are those who receive inheritance but do not transmit inheritance;
transmit inheritance but do not receive inheritance;
neither receive inheritance nor transmit inheritance.
The following receive inheritance and transmit inheritance:
a father vis-à-vis his sons;
sons vis-à-vis their father;
brothers of the same father [vis-à-vis each other]—
these receive inheritance and transmit inheritance.
A man from his mother;
a man from his wife;
and the sons of sisters—
these receive inheritance but do not transmit inheritance.
A woman to her sons;
and a woman to her husband;
and a mother’s brothers—
these transmit inheritance but do not receive inheritance. And maternal brothers—
these neither receive inheritance nor transmit inheritance.",True,"Agnatic Consanguinity, agnatic succession, brother, consanguinity, degrees of kinship, eligibility to Inherit, father, female succession, generational rights, heir, intestate succession, mother, order of succession, paternal lineage, shared inheritance, sister, son, widow's inheritance, woman","Classes of Heirs, Women Inheritance Rights","אח מן האב, אח מן האם, אחי האם, אחים מן האם, אחין מן האב, בני אחיות, מנחיל, מנחילין, נוחל, נוחלין, נחלה, סדר נחלות","husband, maternal lineage, wife"
Mishnah Bava batra 8:2,"סדר נחלות כך הוא, (במדבר כז) איש כי ימות ובן אין לו, והעברתם את נחלתו לבתו, בן קודם לבת, וכל יוצאי ירכו של בן קודמין לבת. בת קודמת לאחין. יוצאי ירכה של בת, קודמין לאחין. אחין קודמין לאחי האב. יוצאי ירכן של אחין, קודמין לאחי האב. זה הכלל, כל הקודם בנחלה, יוצאי ירכו קודמין. והאב קודם לכל יוצאי ירכו:",Hebrew,"The order of inheritances is thus:
Should a man die and have no son, then you shall transfer his inheritance to his daughter:
The son precedes the daughter,
and all the lineal descendants of the son precede the daughter.
The daughter precedes the brothers,
the lineal descendants of the daughter precede the brothers.
The brothers precede the father’s brothers,
the lineal descendants of the son precede the father’s brothers.
This is the rule:
Anyone who precedes in inheritance, his lineal descendants precede [as well],
and a father precedes any of his lineal descendants.",True,"Inheritance priority, agnatic succession, brother, daughter, father, female succession, generational rights, heir, intestacy, order of succession, representation in succession, right of representation, son","Classes of Heirs, Intestacy","אחי האב, אחין, בן, בת, יוצא ירך, יוצאי ירך, יוצאי ירכו, כל הקודם בנחלה, נחלה, סדר נחלות, קדימה בנחלה",
Mishnah Bava batra 8:3,"בנות צלפחד נטלו שלשה חלקים בנחלה. חלק אביהן שהיה עם יוצאי מצרים, וחלקו עם אחיו בנכסי חפר. ושהיה בכור נוטל שני חלקים:",Hebrew,"The daughters of Zelophehad took three shares in the inheritance:
(1) their father’s inheritance, who was among those who left Egypt;
(2) and his share among his brothers in the property of Hepher;
(3) and since he was a firstborn, he takes two shares.",True,"brother, daughter, double portion, female succession, firstborn, heir, order of succession, paternal estate, primogeniture, right of representation, shared inheritance, specification of assets","Firstborn Inheritance Rights, Women Inheritance Rights","בכור, בנות צלפחד, יוצאי מצרים, נחלה",
Mishnah Bava batra 8:4,"אחד הבן ואחד הבת בנחלה, אלא שהבן נוטל פי שנים בנכסי האב ואינו נוטל פי שנים בנכסי האם. והבנות נזונות מנכסי האב ואינן נזונות מנכסי האם:",Hebrew,"The law is one and the same for the son and the daughter in inheritance,
except that the son takes a double portion from the property of the father,
but he does not take a double portion from the property of the mother;
and daughters are maintained from the father’s property;
but they are not maintained from the mother’s property.",True,"Inheritance priority, Primogeniture, alimentary rights, daughter, double portion, father, firstborn, heir, maternal estate, mother, paternal estate, shared inheritance, son","Firstborn Inheritance Rights, Provisions for Children, Women Inheritance Rights","בכור, מזונות, נחלה, נכסי האב, נכסי האם, פי שנים",
Mishnah Bava batra 8:5,"האומר איש פלוני בני בכור לא יטל פי שנים, איש פלוני בני לא יירש עם אחיו, לא אמר כלום, שהתנה על מה שכתוב בתורה. המחלק נכסיו לבניו על פיו, רבה לאחד ומעט לאחד והשוה להן את הבכור, דבריו קימין. ואם אמר משום ירשה, לא אמר כלום. כתב בין בתחלה בין באמצע בין בסוף משום מתנה, דבריו קימין. האומר איש פלוני יירשני במקום שיש בת, בתי תירשני במקום שיש בן, לא אמר כלום, שהתנה על מה שכתוב בתורה. רבי יוחנן בן ברוקה אומר, אם אמר על מי שהוא ראוי לירשו, דבריו קימין. ועל מי שאין ראוי לירשו, אין דבריו קימין. הכותב את נכסיו לאחרים והניח את בניו, מה שעשה עשוי, אבל אין רוח חכמים נוחה הימנו. רבן שמעון בן גמליאל אומר, אם לא היו בניו נוהגין כשורה, זכור לטוב:",Hebrew,"One who says:
“So-and-so is my firstborn son, [but nonetheless] may not take a double portion”;
or “So-and-so is my son, [but nonetheless] may not inherit with his brothers”—
his statement is not valid,76
for he has stipulated in contradiction to77 what is written in the Torah.78
One who distributes his property to his sons according to his own determination,79
if he increased for one, or decreased for one, or made the firstborn equal to them—
his words are valid.
But if he said: “As inheritance,”
his statement is not valid.
If he wrote: “As a gift, whether at the beginning, or at the middle, or at the end”—
his words are valid.
If one says: “So-and-so shall inherit from me,” where there is a daughter;
or “My daughter shall inherit from me,” where there is a son—
his statement is not valid,
for he has stipulated in contradiction to80 what is written in the Torah. One who, in writing, cedes his property to others, and left his sons [with nothing]—
what he has done is done,
but the spirit of the Sages82 is uneasy with him.
Rabban Simeon b. Gamaliel says:
If his sons did not behave83 properly,
he is remembered for good.
R. Yohanan b. Beroqa says:
If he said this about one who is eligible to inherit—
his words are valid;
but if about one who is not eligible to inherit—
his words are not valid.",True,"Gift vs. Inheritance, Primogeniture, Testamentary Interpretation, Testamentary Language, conditional gift, daughter, disinheritance, division of estate before death, double portion, eligibility to Inherit, father, firstborn, gift, heir, nullity, order of succession, primogeniture, son, statutory rights, testamentary intent, testator","Classes of Heirs, Deeds of Gift as Wills, Disinheritance, Firstborn Inheritance Rights, Forms of Will","בכור, הכותב נכסיו לאחרים, המחלק נכסיו, התנה על מה שכתוב בתורה, ירושה, מתנה, מתנה על מה שכתוב בתורה, נחלה, נכס, פי שניים, פי שנים, ראוי ליורשו, רוח חכמים נוחה, רוח חכמים נוחה הימנו",stipulation against statutory law
Mishnah Bava batra 8:6,"האומר זה בני, נאמן. זה אחי, אינו נאמן ונוטל עמו בחלקו. מת, יחזרו נכסים למקומן. נפלו לו נכסים ממקום אחר, יירשו אחיו עמו. מי שמת ונמצאת דיתיקי קשורה על ירכו, הרי זו אינה כלום. זכה בה לאחר, בין מן היורשין בין שאינו מן היורשין, דבריו קימין:",Hebrew,"One who says: “This is my son”—he is believed;
“This is my brother”—he is not believed,
and he shares his portion with him.84
If he died, the property returns to its place;
if property fell to him from another place,
his brothers may inherit along with him.
One who died, and a testament was found tied on his thigh—
in this case, this is nothing.
If he granted acquisition to another by means of the document,85
whether among the heirs or whether not among the heirs—
his words are valid.",True,"Testamentary Heir, brother, disputed lineage, eligibility to Inherit, heir, inheritance conflict, inoperative will, paternal lineage, presumed son, property, property transfer, shared inheritance, son, testator","Classes of Heirs, Documentary Evidence, Forms of Will","διαθήκη, דבריו קיימים, דיתיקי, זכייה, יורש, יורשין, יחזרו נכסים למקומן, נאמנות, נוטל עמו בחלקו, נכס, נפלו לו נכסים, קיים",diatheke
Mishnah Bava batra 8:7,"הכותב נכסיו לבניו, צריך שיכתב מהיום ולאחר מיתה, דברי רבי יהודה. רבי יוסי אומר, אינו צריך. הכותב נכסיו לבנו לאחר מותו, האב אינו יכול למכר, מפני שהן כתובין לבן, והבן אינו יכול למכר, מפני שהן ברשות האב. מכר האב, מכורין עד שימות. מכר הבן, אין ללוקח בהן כלום עד שימות האב. האב תולש ומאכיל לכל מי שירצה. ומה שהניח תלוש, הרי הוא של יורשין. הניח בנים גדולים וקטנים, אין הגדולים מתפרנסים על הקטנים ולא הקטנים נזונין על הגדולים, אלא חולקין בשוה. נשאו הגדולים, ישאו הקטנים. ואם אמרו קטנים הרי אנו נושאים כדרך שנשאתם אתם, אין שומעין להם, אלא מה שנתן להם אביהם נתן:",Hebrew,"One who, in writing, cedes his property to his sons86 must write,
“From today and after death”—
the words of R. Judah.
R. Yose says:
He does not need to.
One who in writing cedes his properties to his son after his death—
the father cannot sell them because they are written to the son,
and the son cannot sell them because they are in the possession of the father.
If the father sold them, they are sold until his death;
if the son sold, the buyer has no share in them until the father dies.
The father plucks [the property] and feeds whomever he wants;
and whatever he leaves plucked belongs to the heirs. f one left adult and minor sons,
the adults are not provisioned at the expense of the minors,
and the minors are not maintained87 at the expense of the adults;
but rather they split equally.
If the adults were married, the minors may be married. And if the minors say: “Now, we are to be married in the manner that you were
­ married”—
one does not listen to them,
but rather what their father has given to them he has given.",True,"Gift vs. Inheritance, adult, alimentary rights, bequeathal clause, buyer, division of estate before death, father, from today and after death, gift after death, heir, inter vivos transfer, marriage conditions, minor, power of sale, property, shared inheritance, son, usufructus","Deeds of Gift as Wills, Intestacy, Trust, Usufruct, Usufruct","גדולים וקטנים, הכותב נכסיו, חולקין בשוה, חלוקה בשווה, יורש, כותב נכסיו, לוקח, מהיום ולאחר מיתה, מזונות, מכר, מתפרנס, ניזון, נכס, רשות, רשות האב, תלוש",
Mishnah Bava batra 8:8,"הניח בנות גדולות וקטנות, אין הגדולות מתפרנסות על הקטנות ולא הקטנות נזונות על הגדולות, אלא חולקות בשוה. נשאו גדולות, ישאו קטנות. ואם אמרו קטנות, הרי אנו נושאות כדרך שנשאתם אתם, אין שומעין להן. זה חמר בבנות מבבנים, שהבנות נזונות על הבנים ואין נזונות על הבנות:",Hebrew,"If he left adult and minor daughters,
the adults are not provisioned at the expense of the minors,
and the minors are not maintained89 at the expense of the adults;
but rather, they divide equally.
If the adults married, the minors may marry.
And if the minors say: “Now, we are to be married in the manner that you were married”—
ones does not listen to them.
In this respect the rule is stricter for daughters than for sons,
that daughters are maintained at the expense of90 sons,
but are not maintained at the expense of daughters.",True,"adult, alimentary rights, daughter, female succession, intestate succession, marriage conditions, minor, minor’s protection, paternal estate, shared inheritance, son","Intestacy, Minors, Provisions for Children, Women Inheritance Rights","בנות, בנים, גדול, גדולות, חולקות בשוה, חומר, חלוקה בשווה, מזונות, פרנסה, קטן, קטנות",
Mishnah Bava batra 9:1,"מי שמת והניח בנים ובנות, בזמן שהנכסים מרבים, הבנים יירשו והבנות יזונו. נכסים מעטין, הבנות יזונו והבנים ישאלו על הפתחים. אדמון אומר, בשביל שאני זכר הפסדתי. אמר רבן גמליאל, רואה אני את דברי אדמון:",Hebrew,"One who dies and left sons and daughters,
when there is much property,
the sons inherit, and the daughters are maintained;
if91 there is little property,
the daughters are maintained, and the sons may beg in the doorways.
Admon said:
Because I am male, I have lost?
Said Rabban Gamaliel:92 I agree with the words of Admon.",True,"Inheritance priority, Women's Status, alimentary rights, daughter, female succession, heir, order of succession, paternal estate, property, shared inheritance, son, specification of assets","Classes of Heirs, Provisions for Children, Women Inheritance Rights","אדמון, הפסיד, ירושה, ירש, מזונות, נכסים מועטים, נכסים מעטין, נכסים מרבים, נכסים מרובים, שאל על הפתחים",
Mishnah Bava batra 9:2,"הניח בנים ובנות וטמטום, בזמן שהנכסים מרבים, הזכרים דוחין אותו אצל נקבות. נכסים מעטין, הנקבות דוחות אותו אצל זכרים. האומר אם תלד אשתי זכר יטל מנה, ילדה זכר, נוטל מנה. נקבה מאתים, ילדה נקבה, נוטלת מאתים. אם זכר מנה אם נקבה מאתים, וילדה זכר ונקבה, זכר נוטל מנה והנקבה נוטלת מאתים. ילדה טמטום, אינו נוטל. אם אמר כל מה שתלד אשתי יטל, הרי זה יטל. ואם אין שם יורש אלא הוא, יורש את הכל:",Hebrew,"If he left sons, and daughters, and a tumtum,
when there is much property, the males push him among the females;
if93 there is little property, the females push him among the males.
One who says: “If my wife gives birth94 to a male, he may take one hundred,”
if she gave birth to a male, he may take one hundred.
“To a female, two hundred,”
if she gave birth to a female, she may take two hundred;
“If to a male, one hundred; if to a female, two hundred,”
if she gave birth to a male and a female—
the male takes one hundred, and the female two hundred;
if she gave birth to a tumtum95
—
he does not take.
If he said: “Whatever my wife gives birth to shall take,”
then this one takes;
and if there is no other heir but him, he inherits all.",True,"Inheritance priority, conditional gift, daughter, division of estate before death, eligibility to Inherit, female succession, gift, heir, intersex person, order of succession, property, shared inheritance, son, specification of assets","Classes of Heirs, Intestacy, Legacies, Legal Capacity, Women Inheritance Rights","טומטום, טמטום, יורש, מתנה על תנאי, נכסים מועטים, נכסים מעטין, נכסים מרבים, נכסים מרובים",conditional bequest
